key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr,,
10,威廉,威廉,William,ウィリアム,윌리엄,윌리엄,윌리엄
11,人物,人物,Character,人物,인물,성격,인물
12,"　　威廉为此人代号，姓名未知，年龄未知，生物学家、遗迹学家，罗联科学技术部院士，罗联遗迹署重要负责人，“三女神计划”技术负责人之一。         
　　生性冷漠、傲慢，心思缜密，除学术交流外，拒绝与他人发展私人关系，没有亲近的同僚。除了生物、遗传、遗迹学之外，对于人工智能、克隆、医学等领域也表现出极高的学术水平。","　　威廉為此人代號，姓名未知，年齡未知，生物學家、遺跡學家，羅聯科學技術部院士，羅聯遺跡署重要負責人，“三女神計畫”技術負責人之一。         
　　生性冷漠、傲慢，心思縝密，除學術交流外，拒絕與他人發展私人關係，沒有親近的同僚。除了生物、遺傳、遺跡學之外，對於人工智慧、克隆、醫學等領域也表現出極高的學術水準。","Codename ""William"", name unknown, age unknown. A biologist, archaeologist, academician of the URNC Department of Science and Technology, a key figure in the Relic Agency, and one of the technical directors behind the ""GAVIRUL Project"".          
William is known for his cold and arrogant nature, meticulousness, and refusal to form personal relationships outside of academic discussions. He has no close colleagues to speak of. In addition to his expertise in biology, genetics, and archaeology, he also demonstrates high academic proficiency in artificial intelligence, cloning, medicine, and other fields.","　　「ウィリアム」は仮名で、本名と年齢は不明。生物学者、遺跡学者、ロ連科学技術局筆頭研究員、ロ連遺跡署における中心人物。三女神計画発案者の一人。 
　　性格は冷酷かつ傲慢。学術の場以外では誰とも交流しようとしない。生物学、遺伝学、遺跡学だけでなく、人工知能やクローン技術、医学等の分野においても極めて深い造詣を持つ。","　　코드네임 ""윌리엄"". 이름은 불명, 나이도 불명이다. 생물학자이자 유적학자이고 루련 과학기술부의 학자이다. 동시에 그는 루련 유적부의 중요 책임자
이자 ""삼여신 계획""의 기술책임자 중 하나이다.
　　성격은 냉철하고 오만하며 치밀하다. 학술적인 교류 외에는 타인과의 사적인 관계를 가지지 않으며, 가깝게 지내는 동료도 없다. 생물, 유전, 유전학 외에 인공지능, 클론, 의학 등 영역에서도 매우 높은 학술적 수준을 가지고 있다.","코드네임 ""윌리엄"", 이름 불명, 나이 불명. 생물학자, 고고학자, URNC 과학기술부 학자, Relic Agency의 핵심 인물이자 ""GAVIRUL 프로젝트""의 기술 책임자 중 한 명입니다.          
윌리엄은 차갑고 오만한 성격, 꼼꼼함, 학문적 토론 이외의 개인적인 관계 형성을 거부하는 것으로 유명합니다. 그에게는 말할 만한 가까운 동료가 없습니다. 그는 생물학, 유전학, 고고학 분야의 전문 지식 외에도 인공 지능, 복제, 의학 및 기타 분야에서도 높은 학문적 능력을 보여줍니다.","　　「윌리엄」은 가명으로, 본명과 연령은 불명. 
　　성격은 냉혹하고 오만하며, 학술의 장 이외에서는 누구와도 교류하려고 하지 않는다."
13,"　　威廉为此人代号，姓名未知，年龄未知，生物学家、遗迹学家，<keyword=7>罗联</keyword>科学技术部院士，罗联<keyword=9>遗迹署</keyword>重要负责人，“三女神计划”技术负责人之一。         
　　生性冷漠、傲慢，心思缜密，除学术交流外，拒绝与他人发展私人关系，没有亲近的同僚。除了生物、遗传、遗迹学之外，对于人工智能、克隆、医学等领域也表现出极高的学术水平。","　　威廉為此人代號，姓名未知，年齡未知，生物學家、遺跡學家，<keyword=7>羅聯</keyword>科學技術部院士，羅聯<keyword=9>遺跡署</keyword>重要負責人，“三女神計畫”技術負責人之一。         
　　生性冷漠、傲慢，心思縝密，除學術交流外，拒絕與他人發展私人關係，沒有親近的同僚。除了生物、遺傳、遺跡學之外，對於人工智慧、克隆、醫學等領域也表現出極高的學術水準。","Codename ""William"", name unknown, age unknown. A biologist, archaeologist, academician of the <keyword=7>URNC</keyword> Department of Science and Technology, a key figure in the URNC <keyword=9>Relic Agency</keyword>, and one of the technical directors behind the ""GAVIRUL Project"".       
William is known for his cold and arrogant nature, meticulousness, and refusal to form personal relationships outside of academic discussions. He has no close colleagues to speak of. In addition to his expertise in biology, genetics, and archaeology, he also demonstrates high academic proficiency in artificial intelligence, cloning, medicine, and other fields.","　　「ウィリアム」は仮名で、本名と年齢は不明。生物学者、遺跡学者、<keyword=7>ロ連</keyword>科学技術局筆頭研究員、ロ連<keyword=9>遺跡署</keyword>における中心人物。三女神計画発案者の一人。 
　　性格は冷酷かつ傲慢。学術の場以外では誰とも交流しようとしない。生物学、遺伝学、遺跡学だけでなく、人工知能やクローン技術、医学等の分野においても極めて深い造詣を持つ。","　　코드네임 ""윌리엄"". 이름은 불명, 나이도 불명이다. 생물학자이자 유적학자이고 <keyword=7>루련</keyword> 과학기술부의 학자이다. 동시에 그는 루련 <keyword=9>유적부</keyword>의 중요 책임자
이자 ""삼여신 계획""의 기술책임자 중 하나이다.
　　성격은 냉철하고 오만하며 치밀하다. 학술적인 교류 외에는 타인과의 사적인 관계를 가지지 않으며, 가깝게 지내는 동료도 없다. 생물, 유전, 유전학 외에 인공지능, 클론, 의학 등 영역에서도 매우 높은 학술적 수준을 가지고 있다.","코드네임 ""윌리엄"", 이름 불명, 나이 불명. 생물학자, 고고학자, <keyword=7>URNC</keyword> 과학기술부의 학자, URNC <keyword=9>Relic Agency</keyword>의 핵심 인물이자 ""GAVIRUL 프로젝트""의 기술 이사 중 한 명입니다.       
윌리엄은 차갑고 오만한 성격, 꼼꼼함, 학문적 토론 이외의 개인적인 관계 형성을 거부하는 것으로 유명합니다. 그에게는 말할 만한 가까운 동료가 없습니다. 그는 생물학, 유전학, 고고학 분야의 전문 지식 외에도 인공 지능, 복제, 의학 및 기타 분야에서도 높은 학문적 능력을 보여줍니다.","　　「윌리엄」은 가명으로, 본명과 연령은 불명. 
　　성격은 냉혹하고 오만하며, 학술의 장 이외에서는 누구와도 교류하려고 하지 않는다."
610,威廉,威廉,William,ウィリアム,윌리엄,윌리엄,윌리엄
611,人物,人物,Character,人物,인물,성격,인물
612,"　　威廉为此人代号，姓名未知，年龄未知，生物学家、遗迹学家，罗联科学技术部院士，罗联遗迹署重要负责人，“三女神计划”技术负责人之一。         
　　生性冷漠、傲慢，心思缜密，除学术交流外，拒绝与他人发展私人关系，没有亲近的同僚。除了生物、遗传、遗迹学之外，对于人工智能、克隆、医学等领域也表现出极高的学术水平。
　　2078年，与来自南极联邦的菲利普教授合作，共同主持了“三女神计划”的展开，主要为样本肉体重塑提供技术支持。
　　2084年，与菲利普教授的研究理念产生分歧，导致“三女神计划”研究停滞。
　　2088年，疑似在“瓦尔沙事件”中身亡。
　　2091年，在高加索地区出现，并主导罗联军事装备开发。","　　威廉為此人代號，姓名未知，年齡未知，生物學家、遺跡學家，羅聯科學技術部院士，羅聯遺跡署重要負責人，“三女神計畫”技術負責人之一。         
　　生性冷漠、傲慢，心思縝密，除學術交流外，拒絕與他人發展私人關係，沒有親近的同僚。除了生物、遺傳、遺跡學之外，對於人工智慧、克隆、醫學等領域也表現出極高的學術水準。
　　2078年，與來自南極聯邦的菲利普教授合作，共同主持了“三女神計畫”的展開，主要為樣本肉體重塑提供技術支持。
　　2084年，與菲利普教授的研究理念產生分歧，導致“三女神計畫”研究停滯。
　　2088年，疑似在“瓦爾沙事件”中身亡。
　　2091年，在高加索地區出現，並主導羅聯軍事裝備開發。","Codename ""William"", name unknown, age unknown. A biologist, archaeologist, academician of the URNC Department of Science and Technology, a key figure in the URNC Relics Department, and one of the technical directors behind the ""GAVIRUL Project"".
 William was known for his cold and arrogant nature, meticulousness, and refusal to form personal relationships outside of academic discussions. He had no close colleagues to speak of. In addition to his expertise in biology, genetics, and archaeology, he also demonstrated high academic proficiency in artificial intelligence, cloning, medicine, and other fields.
 In 2078, he collaborated with Professor Philip from the Antarctic Union and co-led the ""GAVIRUL Project"", providing technical support for the reshaping of sample bodies. 
 In 2084, a divergence in research philosophies with Professor Philip led to a stagnation of the ""GAVIRUL Project"". 
 In 2088, he was suspected to have died in the ""Warszawa Incident."" 
 In 2091, he reappeared in the Caucasus region, and led the development of military equipment for the URNC.","　　「ウィリアム」は仮名で、本名と年齢は不明。生物学者、遺跡学者、ロ連科学技術局筆頭研究員、ロ連遺跡署における中心人物。三女神計画発案者の一人。 
　　性格は冷酷かつ傲慢。学術の場以外では誰とも交流しようとしない。生物学、遺伝学、遺跡学だけでなく、人工知能やクローン技術、医学等の分野においても極めて深い造詣を持つ。
　　2078年、南極連邦のフィリップ教授と共に「三女神計画」を発案・実行する。主にサンプルの肉体再構築に関する技術協力を行った。
　　2084年、フィリップ教授との間に研究理念の相違が生まれ、「三女神計画」が停滞。
　　2088年、「ワルシャワ事件」で死亡したとされる。
　　2091年、コーカサス地方で姿を現し、ロ連の軍事装備開発を主導する。","　　코드네임 ""윌리엄"". 이름은 불명, 나이도 불명이다. 생물학자이자 유적학자이고 루련 과학기술부의 학자이다. 동시에 그는 루련 유적부의 중요 책임자
이자 ""삼여신 계획""의 기술책임자 중 하나이다.
　　성격은 냉철하고 오만하며 치밀하다. 학술적인 교류 외에는 타인과의 사적인 관계를 가지지 않으며, 가깝게 지내는 동료도 없다. 생물, 유전, 유전학 외에 인공지능, 클론, 의학 등 영역에서도 매우 높은 학술적 수준을 가지고 있다.
　　2078년, 남극 연방에서 온 필리프 교수와 협력하며 '""삼여신 계획""'을 함께 추진했으며, 주로 샘플용 육체의 재구성에 기술적 지원을 했다. 
　　2084년, 필리프 교수와의 연구적 이념에서 갈등을 보였고 이에 따라 '""삼여신 계획""' 연구는 중지되었다. 
　　2088년, '바르샤바 사건'에서 사망한 것으로 추정된다. 
　　2091년, 카프카스 지역에서 나타났으며, 루련군사 장비 개발을 주도했다.","코드네임 ""윌리엄"", 이름 불명, 나이 불명. 생물학자, 고고학자, URNC 과학기술부의 학자이자 URNC 유물부의 핵심 인물이자 ""GAVIRUL 프로젝트""의 기술 책임자 중 한 명입니다.
 윌리엄은 차갑고 오만한 성격, 꼼꼼함, 학문적 토론 이외의 개인적인 관계 형성을 거부하는 것으로 유명했습니다. 그에게는 말을 할 만한 가까운 동료가 없었습니다. 그는 생물학, 유전학, 고고학 분야의 전문 지식 외에도 인공 지능, 복제, 의학 및 기타 분야에서도 높은 학문적 능력을 입증했습니다.
 2078년에는 남극연합의 필립 교수와 협력해 'GAVIRUL 프로젝트'를 공동 주도해 표본 몸체의 재구성에 대한 기술 지원을 제공했다. 
 2084년, 필립 교수와의 연구 철학의 차이로 인해 ""GAVIRUL 프로젝트""는 정체되었습니다. 
 2088년 '바르샤바 사건'으로 사망한 것으로 추정된다. 
 2091년에는 코카서스 지역에 다시 나타나 URNC의 군장비 개발을 주도했다.","　　「윌리엄」은 가명으로, 본명과 연령은 불명. 
　　성격은 냉혹하고 오만하며, 학술의 장 이외에서는 누구와도 교류하려고 하지 않는다.
　　2078년 남극연방의 필립 교수와 함께 '삼여신계획'을 발안·실행한다.
　　2084년, 필립 교수와의 사이에 연구 이념의 차이가 태어나, 「삼여신 계획」이 정체.
　　2088년 '바르샤바 사건'으로 사망했다고 한다.
　　2091년 코카서스 지방에서 모습을 보여 로련의 군사 장비 개발을 주도한다."
613,"　　威廉为此人代号，姓名未知，年龄未知，生物学家、遗迹学家，<keyword=7>罗联</keyword>科学技术部院士，罗联<keyword=9>遗迹署</keyword>重要负责人，“三女神计划”技术负责人之一。         
　　生性冷漠、傲慢，心思缜密，除学术交流外，拒绝与他人发展私人关系，没有亲近的同僚。除了生物、遗传、遗迹学之外，对于人工智能、克隆、医学等领域也表现出极高的学术水平。
　　2078年，与来自<keyword=8>南极联邦</keyword>的<keyword=62>菲利普教授</keyword>合作，共同主持了<keyword=33>“三女神计划”</keyword>的展开，主要为样本肉体重塑提供技术支持。
　　2084年，与菲利普教授的研究理念产生分歧，导致“三女神计划”研究停滞。
　　2088年，疑似在<keyword=43>“瓦尔沙事件”</keyword>中身亡。
　　2091年，在高加索地区出现，并主导罗联军事装备开发。","　　威廉為此人代號，姓名未知，年齡未知，生物學家、遺跡學家，<keyword=7>羅聯</keyword>科學技術部院士，羅聯<keyword=9>遺跡署</keyword>重要負責人，“三女神計畫”技術負責人之一。         
　　生性冷漠、傲慢，心思縝密，除學術交流外，拒絕與他人發展私人關係，沒有親近的同僚。除了生物、遺傳、遺跡學之外，對於人工智慧、克隆、醫學等領域也表現出極高的學術水準。
　　2078年，與來自<keyword=8>南極聯邦</keyword>的<keyword=62>菲利普教授</keyword>合作，共同主持了<keyword=33>“三女神計畫”</keyword>的展開，主要為樣本肉體重塑提供技術支持。
　　2084年，與菲利普教授的研究理念產生分歧，導致“三女神計畫”研究停滯。
　　2088年，疑似在<keyword=43>“瓦爾沙事件”</keyword>中身亡。
　　2091年，在高加索地區出現，並主導羅聯軍事裝備開發。","Codename ""William"", name unknown, age unknown. A biologist, archaeologist, academician of the <keyword=7>URNC</keyword> Department of Science and Technology, a key figure in the URNC <keyword=9>Relics Department</keyword> and one of the technical directors behind the ""GAVIRUL Project"". 
 William was known for his cold and arrogant nature, meticulousness, and and refusal to form personal relationships outside of academic discussions. He had no close colleagues to speak of. In addition to his expertise in biology, genetics, and archaeology, he also demonstrated high academic proficiency in artificial intelligence, cloning, medicine, and other fields.
 In 2078, he collaborated with <keyword=62>Professor Philip</keyword> from the <keyword=8>Antarctic Union</keyword> and co-led the <keyword=33>""GAVIRUL Project""</keyword>, providing technical support for the reshaping of sample bodies. 
 In 2084, a divergence in research philosophies with Professor Philip led to a stagnation of the ""GAVIRUL Project"". 
 In 2088, he was suspected to have died in the <keyword=43>""Warszawa Incident""</keyword>. 
 In 2091, he reappeared in the Caucasus region, and led the development of military equipment for the URNC.","　　「ウィリアム」は仮名で、本名と年齢は不明。生物学者、遺跡学者、<keyword=7>ロ連</keyword>科学技術局筆頭研究員、ロ連<keyword=9>遺跡署</keyword>における中心人物。三女神計画発案者の一人。
　　性格は冷酷かつ傲慢。学術の場以外では誰とも交流しようとしない。生物学、遺伝学、遺跡学だけでなく、人工知能やクローン技術、医学等の分野においても極めて深い造詣を持つ。 
　　2078年、<keyword=8>南極連邦</keyword>の<keyword=62>フィリップ教授</keyword>と共に<keyword=33>「三女神計画」</keyword>を発案・実行する。主にサンプルの肉体再構築に関する技術協力を行った。
　　2084年、フィリップ教授との間に研究理念の相違が生まれ、「三女神計画」が停滞。
　　2088年、<keyword=43>「ワルシャワ事件」</keyword>で死亡したとされる。
　　2091年、コーカサス地方で姿を現し、ロ連の軍事装備開発を主導する。","　　코드네임 ""윌리엄"". 이름은 불명, 나이도 불명이다. 생물학자이자 유적학자이고 <keyword=7>루련</keyword> 과학기술부의 학자이다. 동시에 그는 루련 <keyword=9>유적부</keyword>의 중요 책임자
이자 ""삼여신 계획""의 기술책임자 중 하나이다.
　　성격은 냉철하고 오만하며 치밀하다. 학술적인 교류 외에는 타인과의 사적인 관계를 가지지 않으며, 가깝게 지내는 동료도 없다. 생물, 유전, 유전학 외에 인공지능, 클론, 의학 등 영역에서도 매우 높은 학술적 수준을 가지고 있다.
　　2078년, <keyword=8>남극 연방</keyword>에서 온 <keyword=62>필리프 교수</keyword>와 협력하며 <keyword=33>'""삼여신 계획""'</keyword>을 함께 추진했으며, 주로 샘플용 육체의 재구성에 기술적 지원을 했다. 
　　2084년, 필리프 교수와의 연구적 이념에서 갈등을 보였고 이에 따라 '""삼여신 계획""' 연구는 중지되었다. 
　　2088년, <keyword=43>'바르샤바 사건'</keyword>에서 사망한 것으로 추정된다. 
　　2091년, 카프카스 지역에서 나타났으며, 루련군사 장비 개발을 주도했다.","코드네임 ""윌리엄"", 이름 불명, 나이 불명. 생물학자, 고고학자, <keyword=7>URNC</keyword> 과학기술부의 학자, URNC <keyword=9>유물부</keyword>의 핵심 인물이자 ""GAVIRUL 프로젝트""의 기술 책임자 중 한 명입니다. 
 윌리엄은 차갑고 오만한 성격, 꼼꼼함, 학문적 토론 이외의 개인적인 관계 형성을 거부하는 것으로 유명했습니다. 그에게는 말을 할 만한 가까운 동료가 없었습니다. 그는 생물학, 유전학, 고고학 분야의 전문 지식 외에도 인공 지능, 복제, 의학 및 기타 분야에서도 높은 학문적 능력을 입증했습니다.
 2078년에 그는 <keyword=8>남극 연합</keyword>의 <keyword=62>필립 교수</keyword>와 협력하여 <keyword=33>""GAVIRUL 프로젝트""</keyword>를 공동 주도하여 샘플 몸체의 재구성을 위한 기술 지원을 제공했습니다. 
 2084년, 필립 교수와의 연구 철학의 차이로 인해 ""GAVIRUL 프로젝트""는 정체되었습니다. 
 2088년 <keyword=43>""바르샤바 사건""</keyword>으로 사망한 것으로 의심되었습니다. 
 2091년에는 코카서스 지역에 다시 나타나 URNC의 군장비 개발을 주도했다.","　　「윌리엄」은 가명으로, 본명과 연령은 불명.
　　성격은 냉혹하고 오만하며, 학술의 장 이외에서는 누구와도 교류하려고 하지 않는다. 
　　2078년 <keyword=8>남극연방</keyword>의 <keyword=62>필립 교수</keyword>와 함께 <keyword=33> '삼여신계획'</keyword>을 발안·실행한다.
　　2084년, 필립 교수와의 사이에 연구 이념의 차이가 태어나, 「삼여신 계획」이 정체.
　　2088년 <keyword=43> '바르샤바 사건'</keyword>에서 사망했다고 한다.
　　2091년 코카서스 지방에서 모습을 보여 로련의 군사 장비 개발을 주도한다."
20,坎普菲,坎普菲,Kämpfe,ケンプフェ,캄프페,캠프페,켐프페
21,人物,人物,Character,人物,인물,성격,인물
